file,layer_name,type,priority,x,y,width,height,z_index,canvas_width,canvas_height,kv_canvas_width,kv_canvas_height,kv_x,kv_y,kv_width,kv_height,kv_z_index,is_in_kv
Bubly_160X600.psd,BACKGROUND,BACKGROUND,-1,0,0,160,600,0,160,600,1706.0,1706.0,0.0,0.0,1706.0,1706.0,0.0,1
Bubly_160X600.psd,SKUs,PRODUCT,2,0,224,160,334,1,160,600,1706.0,1706.0,232.0,523.0,1273.0,570.0,3.0,1
Bubly_160X600.psd,COPY,TEXT,2,12,85,139,66,2,160,600,1706.0,1706.0,381.0,1341.0,910.0,146.0,1.0,1
Bubly_160X600.psd,CTA,CTA,3,12,522,139,37,3,160,600,1706.0,1706.0,,,,,,0
Bubly_160X600.psd,SUB HEADING,TEXT,2,14,406,132,63,4,160,600,1706.0,1706.0,381.0,1341.0,910.0,146.0,1.0,1
Bubly_300X250.psd,BACKGROUND,BACKGROUND,-1,0,0,300,250,0,300,250,1706.0,1706.0,0.0,0.0,1706.0,1706.0,0.0,1
Bubly_300X250.psd,SKUs,PRODUCT,2,0,63,278,187,1,300,250,1706.0,1706.0,232.0,523.0,1273.0,570.0,3.0,1
Bubly_300X250.psd,COPY,TEXT,2,33,24,236,28,2,300,250,1706.0,1706.0,381.0,1341.0,910.0,146.0,1.0,1
Bubly_300X250.psd,CTA,CTA,3,101,212,101,27,3,300,250,1706.0,1706.0,,,,,,0
Bubly_300X250.psd,SUB HEADING,TEXT,2,19,189,263,12,4,300,250,1706.0,1706.0,381.0,1341.0,910.0,146.0,1.0,1
Bubly_300X50.psd,BACKGROUND,BACKGROUND,-1,0,0,300,50,0,300,50,1706.0,1706.0,0.0,0.0,1706.0,1706.0,0.0,1
Bubly_300X50.psd,SKUs,PRODUCT,2,114,4,118,46,1,300,50,1706.0,1706.0,232.0,523.0,1273.0,570.0,3.0,1
Bubly_300X50.psd,CTA,CTA,3,238,17,58,15,2,300,50,1706.0,1706.0,,,,,,0
Bubly_300X50.psd,COPY,TEXT,2,6,17,101,12,3,300,50,1706.0,1706.0,381.0,1341.0,910.0,146.0,1.0,1
Bubly_300X600.psd,BACKGROUND,BACKGROUND,-1,0,0,300,600,0,300,600,1706.0,1706.0,0.0,0.0,1706.0,1706.0,0.0,1
Bubly_300X600.psd,SKUs,PRODUCT,2,0,183,300,417,1,300,600,1706.0,1706.0,232.0,523.0,1273.0,570.0,3.0,1
Bubly_300X600.psd,COPY,TEXT,2,45,48,212,101,2,300,600,1706.0,1706.0,381.0,1341.0,910.0,146.0,1.0,1
Bubly_300X600.psd,CTA,CTA,3,67,509,167,45,3,300,600,1706.0,1706.0,,,,,,0
Bubly_300X600.psd,SUB HEADING,TEXT,2,9,441,284,47,4,300,600,1706.0,1706.0,381.0,1341.0,910.0,146.0,1.0,1
Bubly_320X50.psd,BACKGROUND,BACKGROUND,-1,0,0,320,50,0,320,50,1706.0,1706.0,0.0,0.0,1706.0,1706.0,0.0,1
Bubly_320X50.psd,CTA,CTA,3,257,17,58,15,1,320,50,1706.0,1706.0,,,,,,0
Bubly_320X50.psd,SKUs,PRODUCT,2,130,1,119,49,2,320,50,1706.0,1706.0,232.0,523.0,1273.0,570.0,3.0,1
